query,query_time,rows_examined,joins
SUM transactions for user_id=1615,0.0629645887792991,23,2
SUM transactions for user_id=1615,0.07039632235665694,23,2
SUM transactions for user_id=1615,0.08116179760928588,23,2
SUM transactions for user_id=7965,0.03460850394411464,21,2
SUM transactions for user_id=7965,0.032293632076762065,21,2
SUM transactions for user_id=7965,0.03454434726484404,21,2
SUM transactions for user_id=5778,0.03363640073563048,24,2
SUM transactions for user_id=5778,0.025582288019487608,24,2
SUM transactions for user_id=5778,0.027409598073922563,24,2
SUM transactions for user_id=7861,0.038114245968549926,20,2
SUM transactions for user_id=7861,0.04278747028338858,20,2
SUM transactions for user_id=7861,0.034632765560953134,20,2
SUM transactions for user_id=7450,0.03223779366876679,13,2
SUM transactions for user_id=7450,0.03436511109637103,13,2
SUM transactions for user_id=7450,0.028468944257545203,13,2
SUM transactions for user_id=737,0.026410003652479183,16,2
SUM transactions for user_id=737,0.024858447116559303,16,2
SUM transactions for user_id=737,0.028769770649071488,16,2
SUM transactions for user_id=2476,0.029038124472054744,36,2
SUM transactions for user_id=2476,0.023870770664910564,36,2
SUM transactions for user_id=2476,0.029682682665703234,36,2
SUM transactions for user_id=2990,0.03101636687242904,23,2
SUM transactions for user_id=2990,0.027885805190428204,23,2
SUM transactions for user_id=2990,0.02590055766038587,23,2
SUM transactions for user_id=3411,0.030657344354439908,13,2
SUM transactions for user_id=3411,0.024243744690112774,13,2
SUM transactions for user_id=3411,0.02972777563598661,13,2
SUM transactions for user_id=1087,0.025760403848868716,9,2
SUM transactions for user_id=1087,0.02766092625362271,9,2
SUM transactions for user_id=1087,0.030405768262434584,9,2
SUM transactions for user_id=1465,0.029871855299927034,9,2
SUM transactions for user_id=1465,0.02761566201825383,9,2
SUM transactions for user_id=1465,0.030150482619553037,9,2
SUM transactions for user_id=9450,0.029837534729709334,15,2
SUM transactions for user_id=9450,0.022830277801748664,15,2
SUM transactions for user_id=9450,0.02594926963420905,15,2
SUM transactions for user_id=9832,0.031538381092295995,41,2
SUM transactions for user_id=9832,0.027235710155554045,41,2
SUM transactions for user_id=9832,0.0298129599089713,41,2
SUM transactions for user_id=3173,0.02801418795173821,20,2
SUM transactions for user_id=3173,0.026102879152129797,20,2
SUM transactions for user_id=3173,0.024759712248869695,20,2
SUM transactions for user_id=2276,0.03065025822501989,26,2
SUM transactions for user_id=2276,0.02694669114289313,26,2
SUM transactions for user_id=2276,0.028257694407350143,26,2
SUM transactions for user_id=5218,0.030705674311317658,41,2
