account_id,user_id,account_type,balance,created_at
1,15894,CHECKING,2346.34,2025-09-02
2,18712,CHECKING,15050.61,2024-06-15
3,8135,SAVINGS,6583.73,2025-02-16
4,5709,CHECKING,4564.71,2023-05-31
5,14317,SAVINGS,848.12,2024-06-26
6,6912,BUSINESS,847.98,2024-02-04
7,16889,BUSINESS,299.19,2024-02-17
8,19366,BUSINESS,10056.15,2023-02-24
9,9474,BUSINESS,4595.41,2023-11-07
10,18628,SAVINGS,6156.25,2024-12-13
11,14617,SAVINGS,104.0,2024-12-28
12,2196,BUSINESS,17517.79,2025-01-29
13,8655,SAVINGS,8932.15,2025-07-05
14,14117,BUSINESS,1193.44,2022-05-22
15,4574,SAVINGS,1003.39,2022-04-27
16,7024,CHECKING,1013.06,2025-06-22
17,1671,BUSINESS,1813.77,2025-02-25
18,15098,BUSINESS,3719.64,2022-01-06
19,5621,SAVINGS,2827.69,2022-08-04
20,2918,CHECKING,1721.11,2023-05-25
21,1800,SAVINGS,4731.85,2025-02-01
22,899,BUSINESS,751.17,2024-07-18
23,8504,SAVINGS,1727.58,2023-06-11
24,17884,SAVINGS,2281.39,2023-08-17
25,7708,CHECKING,3044.67,2024-04-14
26,18729,BUSINESS,7689.68,2022-08-24
27,19513,BUSINESS,1113.68,2023-09-13
28,19160,CHECKING,3610.15,2023-02-20
29,4804,SAVINGS,4487.52,2023-03-11
30,2737,CHECKING,237.82,2025-02-07
31,735,BUSINESS,4676.67,2025-08-02
32,17613,BUSINESS,934.81,2025-04-03
33,19257,CHECKING,336.32,2025-03-31
34,16654,SAVINGS,14868.44,2025-01-29
35,2314,BUSINESS,16853.15,2025-01-31
36,13075,CHECKING,8261.66,2024-09-18
37,9966,BUSINESS,1816.44,2022-01-17
38,4530,SAVINGS,513.89,2022-01-18
39,3941,CHECKING,5763.75,2025-05-28
40,11668,BUSINESS,2900.45,2025-08-25
41,16815,BUSINESS,650.76,2025-11-07
42,7640,BUSINESS,3417.74,2025-04-20
43,14430,BUSINESS,174.97,2022-12-10
44,12249,CHECKING,12002.11,2025-08-10
45,378,BUSINESS,1497.29,2024-12-08
46,5655,SAVINGS,5431.28,2022-11-25
47,842,CHECKING,1867.73,2022-05-19
48,17698,SAVINGS,3670.55,2024-08-20
49,13723,CHECKING,3956.12,2022-06-09
50,10493,CHECKING,1021.94,2022-03-26
51,3071,SAVINGS,17464.04,2023-05-06
52,6191,CHECKING,7461.23,2024-03-21
53,18463,SAVINGS,14025.47,2022-08-08
