query_id,query_type,query
0,GROUP_HAVING,"
SELECT u.id, SUM(t.amount) AS total_amount
FROM users u
JOIN transactions t ON u.id = t.user_id
GROUP BY u.id
HAVING total_amount > 1195
"
1,SUBQUERY_IN,"
SELECT *
FROM transactions
WHERE user_id IN (
    SELECT id FROM users WHERE created_at < '2022-01-01'
)
"
2,JOIN_WHERE,"
SELECT u.id, u.name, t.amount
FROM users u
JOIN transactions t ON u.id = t.user_id
WHERE t.amount > 1583
"
3,JOIN_WHERE,"
SELECT u.id, u.name, t.amount
FROM users u
JOIN transactions t ON u.id = t.user_id
WHERE t.amount > 2011
"
4,JOIN_3_TABLES,"
SELECT u.id, a.balance, SUM(t.amount) AS total_spent
FROM users u
JOIN accounts a ON u.id = a.user_id
JOIN transactions t ON a.id = t.account_id
GROUP BY u.id, a.balance
"
5,JOIN_WHERE,"
SELECT u.id, u.name, t.amount
FROM users u
JOIN transactions t ON u.id = t.user_id
WHERE t.amount > 2573
"
6,JOIN_ORDER,"
SELECT u.id, u.email, t.created_at
FROM users u
JOIN transactions t ON u.id = t.user_id
ORDER BY t.created_at DESC
"
7,SUBQUERY_IN,"
SELECT *
FROM transactions
WHERE user_id IN (
    SELECT id FROM users WHERE created_at < '2022-01-01'
)
"
8,JOIN_3_TABLES,"
SELECT u.id, a.balance, SUM(t.amount) AS total_spent
FROM users u
JOIN accounts a ON u.id = a.user_id
JOIN transactions t ON a.id = t.account_id
GROUP BY u.id, a.balance
"
9,EXISTS,"
SELECT *
FROM transactions t
WHERE EXISTS (
    SELECT 1 FROM users u
    WHERE u.id = t.user_id
)
"
10,JOIN_WHERE,"
SELECT u.id, u.name, t.amount
FROM users u
JOIN transactions t ON u.id = t.user_id
WHERE t.amount > 4553
"
11,JOIN_WHERE,"
SELECT u.id, u.name, t.amount
FROM users u
JOIN transactions t ON u.id = t.user_id
WHERE t.amount > 969
"
12,JOIN_WHERE,"
SELECT u.id, u.name, t.amount
FROM users u
JOIN transactions t ON u.id = t.user_id
WHERE t.amount > 3009
"
13,JOIN_WHERE,"
SELECT u.id, u.name, t.amount
FROM users u
JOIN transactions t ON u.id = t.user_id
WHERE t.amount > 1435
"
14,JOIN_ORDER,"
SELECT u.id, u.email, t.created_at
FROM users u
JOIN transactions t ON u.id = t.user_id
ORDER BY t.created_at DESC
"
15,SUBQUERY_IN,"
SELECT *
FROM transactions
WHERE user_id IN (
    SELECT id FROM users WHERE created_at < '2022-01-01'
)
"
16,EXISTS,"
SELECT *
FROM transactions t
WHERE EXISTS (
    SELECT 1 FROM users u
    WHERE u.id = t.user_id
)
"
17,JOIN_3_TABLES,"
SELECT u.id, a.balance, SUM(t.amount) AS total_spent
FROM users u
JOIN accounts a ON u.id = a.user_id
JOIN transactions t ON a.id = t.account_id
GROUP BY u.id, a.balance
"
18,SUBQUERY_IN,"
SELECT *
FROM transactions
WHERE user_id IN (
    SELECT id FROM users WHERE created_at < '2022-01-01'
)
"
19,JOIN_WHERE,"
SELECT u.id, u.name, t.amount
FROM users u
JOIN transactions t ON u.id = t.user_id
WHERE t.amount > 1847
"
20,JOIN_ORDER,"
SELECT u.id, u.email, t.created_at
FROM users u
JOIN transactions t ON u.id = t.user_id
ORDER BY t.created_at DESC
"
21,JOIN_3_TABLES,"
SELECT u.id, a.balance, SUM(t.amount) AS total_spent
FROM users u
JOIN accounts a ON u.id = a.user_id
JOIN transactions t ON a.id = t.account_id
GROUP BY u.id, a.balance
"
22,SUBQUERY_IN,"
SELECT *
FROM transactions
WHERE user_id IN (
    SELECT id FROM users WHERE created_at < '2022-01-01'
)
"
23,JOIN_ORDER,"
SELECT u.id, u.email, t.created_at
FROM users u
JOIN transactions t ON u.id = t.user_id
ORDER BY t.created_at DESC
"
24,SUBQUERY_IN,"
SELECT *
FROM transactions
WHERE user_id IN (
    SELECT id FROM users WHERE created_at < '2022-01-01'
)
"
25,JOIN_ORDER,"
SELECT u.id, u.email, t.created_at
FROM users u
JOIN transactions t ON u.id = t.user_id
ORDER BY t.created_at DESC
"
26,SUBQUERY_IN,"
SELECT *
FROM transactions
WHERE user_id IN (
    SELECT id FROM users WHERE created_at < '2022-01-01'
)
"
27,JOIN_WHERE,"
SELECT u.id, u.name, t.amount
FROM users u
JOIN transactions t ON u.id = t.user_id
WHERE t.amount > 4312
"
28,EXISTS,"
SELECT *
FROM transactions t
WHERE EXISTS (
    SELECT 1 FROM users u
    WHERE u.id = t.user_id
)
"
29,JOIN_ORDER,"
SELECT u.id, u.email, t.created_at
FROM users u
JOIN transactions t ON u.id = t.user_id
ORDER BY t.created_at DESC
"
30,EXISTS,"
SELECT *
FROM transactions t
WHERE EXISTS (
    SELECT 1 FROM users u
    WHERE u.id = t.user_id
)
"
31,JOIN_ORDER,"
SELECT u.id, u.email, t.created_at
FROM users u
JOIN transactions t ON u.id = t.user_id
ORDER BY t.created_at DESC
"
32,EXISTS,"
SELECT *
FROM transactions t
WHERE EXISTS (
    SELECT 1 FROM users u
    WHERE u.id = t.user_id
)
"
33,JOIN_3_TABLES,"
SELECT u.id, a.balance, SUM(t.amount) AS total_spent
FROM users u
JOIN accounts a ON u.id = a.user_id
JOIN transactions t ON a.id = t.account_id
GROUP BY u.id, a.balance
"
34,SUBQUERY_IN,"
SELECT *
FROM transactions
WHERE user_id IN (
    SELECT id FROM users WHERE created_at < '2022-01-01'
)
"
35,JOIN_WHERE,"
SELECT u.id, u.name, t.amount
FROM users u
JOIN transactions t ON u.id = t.user_id
WHERE t.amount > 582
"
36,JOIN_3_TABLES,"
SELECT u.id, a.balance, SUM(t.amount) AS total_spent
FROM users u
JOIN accounts a ON u.id = a.user_id
JOIN transactions t ON a.id = t.account_id
GROUP BY u.id, a.balance
"
37,EXISTS,"
SELECT *
FROM transactions t
WHERE EXISTS (
    SELECT 1 FROM users u
    WHERE u.id = t.user_id
)
"
38,EXISTS,"
SELECT *
FROM transactions t
WHERE EXISTS (
    SELECT 1 FROM users u
    WHERE u.id = t.user_id
)
"
39,GROUP_HAVING,"
SELECT u.id, SUM(t.amount) AS total_amount
FROM users u
JOIN transactions t ON u.id = t.user_id
GROUP BY u.id
HAVING total_amount > 2423
"
40,EXISTS,"
SELECT *
FROM transactions t
WHERE EXISTS (
    SELECT 1 FROM users u
    WHERE u.id = t.user_id
)
"
