log_id,account_id,action,query_time,timestamp
1,17120,balance_check,2.4358,2025-08-22 15:39:10
2,17120,failed_login,1.8784,2025-04-29 02:57:16
3,17120,logout,1.4051,2025-02-21 02:11:47
4,17120,balance_check,0.1209,2024-12-25 01:35:33
5,17120,failed_login,0.8479,2025-02-04 02:04:00
6,17121,suspicious_activity,3.2254,2025-11-20 21:16:51
7,17121,slow_query,1.6341,2025-08-21 21:43:37
8,17121,suspicious_activity,1.9592,2025-09-28 03:50:17
9,17121,withdrawal,1.314,2025-05-28 23:05:50
10,9869,suspicious_activity,2.9734,2025-09-03 18:29:31
11,9869,deposit,1.5867,2025-04-30 06:15:29
12,9869,withdrawal,4.0311,2025-04-13 03:04:34
13,13499,logout,4.3484,2025-09-04 09:56:39
14,13499,deposit,4.2478,2025-03-15 13:56:26
15,13499,transfer,0.3042,2025-11-21 05:27:15
16,13499,withdrawal,4.4372,2025-07-03 02:33:06
17,13499,transfer,1.6496,2025-03-19 19:04:46
18,13500,withdrawal,3.9501,2025-04-26 08:18:23
19,13500,transfer,4.6149,2025-04-22 02:35:27
20,13500,deposit,1.7834,2025-11-02 02:50:21
21,13500,withdrawal,4.5792,2025-10-07 06:04:44
22,13500,transfer,1.878,2025-02-08 23:37:18
23,13501,suspicious_activity,0.3921,2025-04-21 22:24:48
24,13501,balance_check,0.195,2025-07-24 20:16:27
25,13501,withdrawal,3.0289,2025-05-25 00:11:52
26,2792,balance_check,0.219,2025-09-01 07:09:02
27,2792,slow_query,1.0758,2025-11-18 12:18:39
28,2792,failed_login,1.8393,2025-09-01 05:35:10
29,1190,slow_query,3.1187,2025-03-08 21:03:25
30,1190,deposit,2.7819,2025-05-25 22:04:22
31,1190,withdrawal,1.7649,2025-02-27 06:59:54
32,1190,failed_login,1.0052,2025-05-07 01:48:59
33,1191,deposit,3.5828,2025-05-05 08:17:47
34,1191,slow_query,4.3372,2025-02-27 16:43:05
35,1191,login,1.6173,2025-11-27 23:05:05
