query,query_time,rows_examined,joins,has_sum,has_group_by,has_where,tables_count,query_length,cpu_usage,memory_usage,is_slow
SUM transactions (simulated missing index),0.1151030126624286,250188,1,1,1,0,2,42,11.3,190.453125,1
SUM transactions (simulated missing index),0.0824416910156163,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0836276779297115,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions for user_id=141,0.02788214654209,15,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=141,0.024799504909429,15,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=141,0.0282559676454063,15,2,1,1,1,3,32,0.0,190.453125,0
SUM transactions for user_id=3496,0.0214298027119699,28,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3496,0.0199880314793416,28,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=3496,0.0275782590232893,28,2,1,1,1,3,33,100.0,190.453125,0
SUM transactions for user_id=4774,0.030390356801782,38,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4774,0.0382267690262317,38,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4774,0.0327895480251223,38,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7613,0.020432616900721,30,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7613,0.0245329518514509,30,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7613,0.0252118781224425,30,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=1456,0.0351058072624411,23,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=1456,0.0400379541289483,23,2,1,1,1,3,33,0.0,190.453125,1
SUM transactions for user_id=1456,0.037080724493494,23,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions (simulated missing index),0.0793208655981999,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0911260823800401,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0741486720074713,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0857377360143294,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.101006204676525,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0960930087997509,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.070912234105755,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.08490028983461,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0964391391528368,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.088619176498441,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1088703649721925,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1055371214681882,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions for user_id=7046,0.0190796721555954,26,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7046,0.0192258929675539,26,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=7046,0.025163744893647,26,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions (simulated missing index),0.1062342634972282,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.0796212292676587,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1012183533590464,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions for user_id=9547,0.021431029442607,29,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=9547,0.0219396395600136,29,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=9547,0.0254051999819288,29,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2408,0.0235977634109034,14,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2408,0.0242613018857667,14,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=2408,0.023241527687185,14,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions (simulated missing index),0.1114610447800188,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1004882320850729,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions (simulated missing index),0.1332057730843062,250188,1,1,1,0,2,42,0.0,190.453125,1
SUM transactions for user_id=4543,0.0251629299138833,34,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4543,0.0266901056051296,34,2,1,1,1,3,33,0.0,190.453125,0
SUM transactions for user_id=4543,0.0237782262840906,34,2,1,1,1,3,33,0.0,190.453125,0
