query,query_time,rows_examined
SUM transactions for account_id=10273,0.007176876068115234,19
SUM transactions for account_id=6943,0.0019664764404296875,12
SUM transactions for account_id=8382,0.002839326858520508,7
SUM transactions for account_id=1226,0.0013768672943115234,10
SUM transactions for account_id=4825,0.0010535717010498047,15
SUM transactions for account_id=16148,0.0016946792602539062,11
SUM transactions for account_id=1036,0.0014562606811523438,16
SUM transactions for account_id=3678,0.0015227794647216797,8
SUM transactions for account_id=8320,0.0011119842529296875,19
SUM transactions for account_id=8366,0.0009806156158447266,17
SUM transactions for account_id=851,0.0010912418365478516,19
SUM transactions for account_id=18236,0.0010695457458496094,20
SUM transactions for account_id=10767,0.0014333724975585938,6
SUM transactions for account_id=13539,0.0015082359313964844,13
SUM transactions for account_id=18576,0.0011527538299560547,19
SUM transactions for account_id=18590,0.0021529197692871094,16
SUM transactions for account_id=3622,0.0010426044464111328,13
SUM transactions for account_id=989,0.0018491744995117188,16
SUM transactions for account_id=16824,0.0014486312866210938,7
SUM transactions for account_id=8044,0.0008647441864013672,11
SUM transactions for account_id=1155,0.0,15
SUM transactions for account_id=8332,0.0012035369873046875,15
SUM transactions for account_id=18557,0.0005261898040771484,11
SUM transactions for account_id=11815,0.0005064010620117188,16
SUM transactions for account_id=11114,0.0004856586456298828,17
SUM transactions for account_id=7412,0.0006732940673828125,5
SUM transactions for account_id=11712,0.0010478496551513672,11
SUM transactions for account_id=15557,0.0010013580322265625,17
SUM transactions for account_id=12959,0.0005061626434326172,13
SUM transactions for account_id=17437,0.0005071163177490234,9
SUM transactions for account_id=702,0.0010075569152832031,11
SUM transactions for account_id=15082,0.0009996891021728516,19
SUM transactions for account_id=11116,0.0005543231964111328,15
SUM transactions for account_id=3576,0.0010461807250976562,6
SUM transactions for account_id=19290,0.0005486011505126953,10
SUM transactions for account_id=12208,0.0015072822570800781,9
SUM transactions for account_id=16417,0.0006158351898193359,20
SUM transactions for account_id=9588,0.0007681846618652344,13
SUM transactions for account_id=14875,0.0,7
SUM transactions for account_id=356,0.0006737709045410156,18
SUM transactions for account_id=16168,0.000701904296875,8
SUM transactions for account_id=18476,0.0006580352783203125,8
SUM transactions for account_id=615,0.0013065338134765625,8
SUM transactions for account_id=4489,0.0010521411895751953,10
SUM transactions for account_id=14417,0.0004279613494873047,11
SUM transactions for account_id=10942,0.001008749008178711,5
SUM transactions for account_id=8759,0.0005459785461425781,5
SUM transactions for account_id=478,0.0010497570037841797,14
SUM transactions for account_id=16492,0.0005068778991699219,14
SUM transactions for account_id=3693,0.0009038448333740234,6
SUM transactions for account_id=8275,0.0,15
SUM transactions for account_id=293,0.0006325244903564453,17
SUM transactions for account_id=7604,0.0007448196411132812,5
SUM transactions for account_id=10470,0.0,16
SUM transactions for account_id=1386,0.0005052089691162109,6
SUM transactions for account_id=13972,0.001171112060546875,18
SUM transactions for account_id=13320,0.0005590915679931641,20
SUM transactions for account_id=18185,0.0009770393371582031,7
SUM transactions for account_id=19551,0.0006873607635498047,14
SUM transactions for account_id=11561,0.0010089874267578125,6
SUM transactions for account_id=8949,0.0005075931549072266,18
SUM transactions for account_id=9108,0.0005071163177490234,18
SUM transactions for account_id=13488,0.0007143020629882812,12
SUM transactions for account_id=12555,0.0009608268737792969,5
SUM transactions for account_id=17360,0.0005125999450683594,12
SUM transactions for account_id=19436,0.0015075206756591797,15
SUM transactions for account_id=2622,0.0,16
SUM transactions for account_id=7079,0.0003981590270996094,20
SUM transactions for account_id=9436,0.0006868839263916016,18
SUM transactions for account_id=16941,0.00043010711669921875,12
SUM transactions for account_id=16409,0.0,14
SUM transactions for account_id=10385,0.0,9
SUM transactions for account_id=11809,0.0009570121765136719,6
SUM transactions for account_id=18638,0.0010106563568115234,17
SUM transactions for account_id=10776,0.0005567073822021484,12
SUM transactions for account_id=19845,0.0013995170593261719,9
SUM transactions for account_id=18527,0.0010075569152832031,12
SUM transactions for account_id=19092,0.0010094642639160156,19
SUM transactions for account_id=3442,0.00119781494140625,6
SUM transactions for account_id=1701,0.00091552734375,19
SUM transactions for account_id=1669,0.0015270709991455078,10
SUM transactions for account_id=19689,0.0009942054748535156,13
SUM transactions for account_id=8756,0.0007736682891845703,18
SUM transactions for account_id=1874,0.0004181861877441406,9
SUM transactions for account_id=12606,0.0009965896606445312,17
SUM transactions for account_id=7674,0.0007085800170898438,14
SUM transactions for account_id=17765,0.0005064010620117188,14
SUM transactions for account_id=10723,0.0,17
SUM transactions for account_id=1816,0.0010502338409423828,19
SUM transactions for account_id=15499,0.0,8
SUM transactions for account_id=13492,0.0,16
SUM transactions for account_id=17317,0.0006442070007324219,19
SUM transactions for account_id=16326,0.0005097389221191406,7
SUM transactions for account_id=16131,0.0010073184967041016,11
SUM transactions for account_id=11484,0.0011343955993652344,9
SUM transactions for account_id=17989,0.0,16
SUM transactions for account_id=18363,0.000759124755859375,19
SUM transactions for account_id=15337,0.0008823871612548828,8
SUM transactions for account_id=5308,0.0,8
SUM transactions for account_id=7509,0.0009679794311523438,5
SUM transactions for account_id=2086,0.0007216930389404297,15
SUM transactions for account_id=13489,0.0,13
SUM transactions for account_id=3430,0.0018115043640136719,7
SUM transactions for account_id=18949,0.001007080078125,6
SUM transactions for account_id=5471,0.0008733272552490234,20
SUM transactions for account_id=9481,0.0,15
SUM transactions for account_id=18931,0.0005066394805908203,6
SUM transactions for account_id=720,0.0009553432464599609,5
SUM transactions for account_id=2981,0.0,8
SUM transactions for account_id=4956,0.0,13
SUM transactions for account_id=9936,0.0005710124969482422,15
SUM transactions for account_id=13329,0.0010540485382080078,18
SUM transactions for account_id=15711,0.001020193099975586,14
SUM transactions for account_id=13569,0.0005664825439453125,17
SUM transactions for account_id=853,0.0012371540069580078,5
SUM transactions for account_id=623,0.0,11
SUM transactions for account_id=5049,0.0009052753448486328,13
SUM transactions for account_id=8441,0.0006160736083984375,6
SUM transactions for account_id=6553,0.0004889965057373047,17
SUM transactions for account_id=18180,0.0005252361297607422,13
SUM transactions for account_id=14353,0.0014255046844482422,17
SUM transactions for account_id=9671,0.001157522201538086,9
SUM transactions for account_id=1255,0.0,9
SUM transactions for account_id=9633,0.0,18
SUM transactions for account_id=3969,0.000507354736328125,13
SUM transactions for account_id=2218,0.0,15
SUM transactions for account_id=18618,0.0,9
SUM transactions for account_id=9966,0.0007565021514892578,8
SUM transactions for account_id=6894,0.00099945068359375,7
SUM transactions for account_id=17567,0.0005080699920654297,18
SUM transactions for account_id=17570,0.0007688999176025391,18
SUM transactions for account_id=2711,0.0005478858947753906,8
SUM transactions for account_id=17522,0.0015232563018798828,9
SUM transactions for account_id=3878,0.0005078315734863281,9
SUM transactions for account_id=12131,0.0005066394805908203,13
SUM transactions for account_id=18093,0.0005664825439453125,13
SUM transactions for account_id=749,0.0010063648223876953,5
SUM transactions for account_id=3565,0.0,5
SUM transactions for account_id=11091,0.0005125999450683594,12
SUM transactions for account_id=6682,0.0010075569152832031,8
SUM transactions for account_id=3022,0.0,12
SUM transactions for account_id=14130,0.002078533172607422,16
SUM transactions for account_id=4078,0.0010480880737304688,15
SUM transactions for account_id=12748,0.0007894039154052734,18
SUM transactions for account_id=4690,0.0005478858947753906,9
SUM transactions for account_id=18787,0.000667572021484375,8
SUM transactions for account_id=12118,0.0005512237548828125,11
SUM transactions for account_id=12234,0.00043892860412597656,11
