query,query_time,rows_examined,joins,has_sum,has_group_by,has_where,tables_count,query_length,cpu_usage,memory_usage
SUM transactions (simulated missing index),0.11510301266242864,250188,1,1,1,0,2,42,11.3,190.453125
SUM transactions (simulated missing index),0.08244169101561631,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.08362767792971157,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions for user_id=141,0.027882146542090095,15,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=141,0.02479950490942908,15,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=141,0.028255967645406332,15,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3496,0.0214298027119699,28,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3496,0.019988031479341622,28,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=3496,0.02757825902328931,28,2,1,1,1,3,38,100.0,190.453125
SUM transactions for user_id=4774,0.03039035680178202,38,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4774,0.03822676902623177,38,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=4774,0.0327895480251223,38,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7613,0.02043261690072103,30,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7613,0.02453295185145099,30,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7613,0.025211878122442525,30,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1456,0.03510580726244114,23,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1456,0.040037954128948304,23,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=1456,0.037080724493494005,23,2,1,1,1,3,38,0.0,190.453125
SUM transactions (simulated missing index),0.0793208655981999,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.09112608238004014,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.07414867200747136,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.08573773601432949,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.10100620467652503,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.09609300879975093,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.07091223410575505,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.08490028983461007,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.09643913915283682,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.088619176498441,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.10887036497219259,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.1055371214681882,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions for user_id=7046,0.019079672155595476,26,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7046,0.019225892967553983,26,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=7046,0.02516374489364701,26,2,1,1,1,3,38,0.0,190.453125
SUM transactions (simulated missing index),0.1062342634972282,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.07962122926765877,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions (simulated missing index),0.10121835335904644,250188,1,1,1,0,2,42,0.0,190.453125
SUM transactions for user_id=9547,0.021431029442607028,29,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=9547,0.021939639560013602,29,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=9547,0.025405199981928805,29,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2408,0.023597763410903447,14,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2408,0.024261301885766747,14,2,1,1,1,3,38,0.0,190.453125
SUM transactions for user_id=2408,0.023241527687185053,14,2,1,1,1,3,38,0.0,190.453125
SUM transactions (simulated missing index),0.11146104478001885,250188,1,1,1,0,2,42,0.0,190.453125
