query,query_time,rows_examined,joins,has_sum,has_group_by,has_where,tables_count,query_length
SUM transactions for user_id=1615,0.0629645887792991,23,2,1,1,1,3,33
SUM transactions for user_id=1615,0.0703963223566569,23,2,1,1,1,3,33
SUM transactions for user_id=1615,0.0811617976092858,23,2,1,1,1,3,33
SUM transactions for user_id=7965,0.0346085039441146,21,2,1,1,1,3,33
SUM transactions for user_id=7965,0.032293632076762,21,2,1,1,1,3,33
SUM transactions for user_id=7965,0.034544347264844,21,2,1,1,1,3,33
SUM transactions for user_id=5778,0.0336364007356304,24,2,1,1,1,3,33
SUM transactions for user_id=5778,0.0255822880194876,24,2,1,1,1,3,33
SUM transactions for user_id=5778,0.0274095980739225,24,2,1,1,1,3,33
SUM transactions for user_id=7861,0.0381142459685499,20,2,1,1,1,3,33
SUM transactions for user_id=7861,0.0427874702833885,20,2,1,1,1,3,33
SUM transactions for user_id=7861,0.0346327655609531,20,2,1,1,1,3,33
SUM transactions for user_id=7450,0.0322377936687667,13,2,1,1,1,3,33
SUM transactions for user_id=7450,0.034365111096371,13,2,1,1,1,3,33
SUM transactions for user_id=7450,0.0284689442575452,13,2,1,1,1,3,33
SUM transactions for user_id=737,0.0264100036524791,16,2,1,1,1,3,32
SUM transactions for user_id=737,0.0248584471165593,16,2,1,1,1,3,32
SUM transactions for user_id=737,0.0287697706490714,16,2,1,1,1,3,32
SUM transactions for user_id=2476,0.0290381244720547,36,2,1,1,1,3,33
SUM transactions for user_id=2476,0.0238707706649105,36,2,1,1,1,3,33
SUM transactions for user_id=2476,0.0296826826657032,36,2,1,1,1,3,33
SUM transactions for user_id=2990,0.031016366872429,23,2,1,1,1,3,33
SUM transactions for user_id=2990,0.0278858051904282,23,2,1,1,1,3,33
SUM transactions for user_id=2990,0.0259005576603858,23,2,1,1,1,3,33
SUM transactions for user_id=3411,0.0306573443544399,13,2,1,1,1,3,33
SUM transactions for user_id=3411,0.0242437446901127,13,2,1,1,1,3,33
SUM transactions for user_id=3411,0.0297277756359866,13,2,1,1,1,3,33
SUM transactions for user_id=1087,0.0257604038488687,9,2,1,1,1,3,33
SUM transactions for user_id=1087,0.0276609262536227,9,2,1,1,1,3,33
SUM transactions for user_id=1087,0.0304057682624345,9,2,1,1,1,3,33
SUM transactions for user_id=1465,0.029871855299927,9,2,1,1,1,3,33
SUM transactions for user_id=1465,0.0276156620182538,9,2,1,1,1,3,33
SUM transactions for user_id=1465,0.030150482619553,9,2,1,1,1,3,33
SUM transactions for user_id=9450,0.0298375347297093,15,2,1,1,1,3,33
SUM transactions for user_id=9450,0.0228302778017486,15,2,1,1,1,3,33
SUM transactions for user_id=9450,0.025949269634209,15,2,1,1,1,3,33
SUM transactions for user_id=9832,0.0315383810922959,41,2,1,1,1,3,33
SUM transactions for user_id=9832,0.027235710155554,41,2,1,1,1,3,33
SUM transactions for user_id=9832,0.0298129599089713,41,2,1,1,1,3,33
SUM transactions for user_id=3173,0.0280141879517382,20,2,1,1,1,3,33
SUM transactions for user_id=3173,0.0261028791521297,20,2,1,1,1,3,33
SUM transactions for user_id=3173,0.0247597122488696,20,2,1,1,1,3,33
SUM transactions for user_id=2276,0.0306502582250198,26,2,1,1,1,3,33
SUM transactions for user_id=2276,0.0269466911428931,26,2,1,1,1,3,33
SUM transactions for user_id=2276,0.0282576944073501,26,2,1,1,1,3,33
SUM transactions for user_id=5218,0.0307056743113176,41,2,1,1,1,3,33
SUM transactions for user_id=5218,0.0361659829970248,41,2,1,1,1,3,33
SUM transactions for user_id=5218,0.0328893346395028,41,2,1,1,1,3,33
SUM transactions for user_id=6592,0.037333066176888,47,2,1,1,1,3,33
SUM transactions for user_id=6592,0.0316907226990296,47,2,1,1,1,3,33
SUM transactions for user_id=6592,0.0379850837294826,47,2,1,1,1,3,33
SUM transactions for user_id=1644,0.0341040954458623,32,2,1,1,1,3,33
SUM transactions for user_id=1644,0.0279393993631541,32,2,1,1,1,3,33
SUM transactions for user_id=1644,0.0354668787553114,32,2,1,1,1,3,33
SUM transactions for user_id=759,0.0293590196478332,30,2,1,1,1,3,32
SUM transactions for user_id=759,0.029392770263174,30,2,1,1,1,3,32
SUM transactions for user_id=759,0.0330364562689768,30,2,1,1,1,3,32
SUM transactions for user_id=6288,0.0280473688036019,16,2,1,1,1,3,33
SUM transactions for user_id=6288,0.0289241871914647,16,2,1,1,1,3,33
SUM transactions for user_id=6288,0.0222885859022026,16,2,1,1,1,3,33
SUM transactions for user_id=459,0.0387264229650311,34,2,1,1,1,3,32
SUM transactions for user_id=459,0.0313585181062335,34,2,1,1,1,3,32
SUM transactions for user_id=459,0.0371899775470429,34,2,1,1,1,3,32
SUM transactions for user_id=6025,0.0357828087989306,9,2,1,1,1,3,33
SUM transactions for user_id=6025,0.0384492226890557,9,2,1,1,1,3,33
SUM transactions for user_id=6025,0.0403609449039208,9,2,1,1,1,3,33
SUM transactions for user_id=9725,0.0235309609667489,29,2,1,1,1,3,33
SUM transactions for user_id=9725,0.0307015764744823,29,2,1,1,1,3,33
SUM transactions for user_id=9725,0.0331404749398407,29,2,1,1,1,3,33
SUM transactions for user_id=8453,0.0346818140449291,11,2,1,1,1,3,33
SUM transactions for user_id=8453,0.0258508693821146,11,2,1,1,1,3,33
SUM transactions for user_id=8453,0.0336429431435531,11,2,1,1,1,3,33
SUM transactions for user_id=666,0.0299386489595977,10,2,1,1,1,3,32
SUM transactions for user_id=666,0.039168079155388,10,2,1,1,1,3,32
SUM transactions for user_id=666,0.0284737281973438,10,2,1,1,1,3,32
SUM transactions for user_id=2671,0.032973875843303,42,2,1,1,1,3,33
SUM transactions for user_id=2671,0.0307527163908374,42,2,1,1,1,3,33
SUM transactions for user_id=2671,0.0333423832541861,42,2,1,1,1,3,33
SUM transactions for user_id=2456,0.0359782387558948,15,2,1,1,1,3,33
SUM transactions for user_id=2456,0.0323652792459138,15,2,1,1,1,3,33
SUM transactions for user_id=2456,0.0347075293015046,15,2,1,1,1,3,33
SUM transactions for user_id=8610,0.0331317657428023,30,2,1,1,1,3,33
SUM transactions for user_id=8610,0.0302568361370522,30,2,1,1,1,3,33
SUM transactions for user_id=8610,0.0320329878163018,30,2,1,1,1,3,33
SUM transactions for user_id=7130,0.0258838447944252,9,2,1,1,1,3,33
SUM transactions for user_id=7130,0.0278187329753879,9,2,1,1,1,3,33
SUM transactions for user_id=7130,0.0336273978667566,9,2,1,1,1,3,33
SUM transactions for user_id=1868,0.0335805944288758,28,2,1,1,1,3,33
SUM transactions for user_id=1868,0.0334572905679983,28,2,1,1,1,3,33
SUM transactions for user_id=1868,0.0289140387049185,28,2,1,1,1,3,33
SUM transactions for user_id=8165,0.0241858868577827,14,2,1,1,1,3,33
SUM transactions for user_id=8165,0.0240707349394914,14,2,1,1,1,3,33
SUM transactions for user_id=8165,0.028600771744669,14,2,1,1,1,3,33
SUM transactions for user_id=4344,0.022612987951468,8,2,1,1,1,3,33
SUM transactions for user_id=4344,0.0318198187811837,8,2,1,1,1,3,33
SUM transactions for user_id=4344,0.0294554623275265,8,2,1,1,1,3,33
SUM transactions for user_id=3932,0.0213375866060213,15,2,1,1,1,3,33
SUM transactions for user_id=3932,0.0254038947858076,15,2,1,1,1,3,33
SUM transactions for user_id=3932,0.0267511164181371,15,2,1,1,1,3,33
SUM transactions for user_id=4682,0.0241677360188143,21,2,1,1,1,3,33
SUM transactions for user_id=4682,0.0330419077515865,21,2,1,1,1,3,33
SUM transactions for user_id=4682,0.0241933606014402,21,2,1,1,1,3,33
SUM transactions for user_id=594,0.0302677983670198,11,2,1,1,1,3,32
SUM transactions for user_id=594,0.0264212235685655,11,2,1,1,1,3,32
SUM transactions for user_id=594,0.0234747461100823,11,2,1,1,1,3,32
SUM transactions for user_id=9057,0.0267657192861758,27,2,1,1,1,3,33
SUM transactions for user_id=9057,0.0367111901499243,27,2,1,1,1,3,33
SUM transactions for user_id=9057,0.0281792886940918,27,2,1,1,1,3,33
SUM transactions for user_id=2999,0.0314021995280042,18,2,1,1,1,3,33
SUM transactions for user_id=2999,0.0281683252204966,18,2,1,1,1,3,33
SUM transactions for user_id=2999,0.0316374672547661,18,2,1,1,1,3,33
SUM transactions for user_id=8247,0.0344214671566395,30,2,1,1,1,3,33
SUM transactions for user_id=8247,0.0319002089219054,30,2,1,1,1,3,33
SUM transactions for user_id=8247,0.031887812895123,30,2,1,1,1,3,33
SUM transactions for user_id=3452,0.0396351896957233,23,2,1,1,1,3,33
SUM transactions for user_id=3452,0.037639984233176,23,2,1,1,1,3,33
SUM transactions for user_id=3452,0.0282680117441817,23,2,1,1,1,3,33
SUM transactions for user_id=1787,0.0284612960723523,12,2,1,1,1,3,33
SUM transactions for user_id=1787,0.0274663765221867,12,2,1,1,1,3,33
SUM transactions for user_id=1787,0.0322522205685359,12,2,1,1,1,3,33
SUM transactions for user_id=2715,0.0310526447754488,44,2,1,1,1,3,33
SUM transactions for user_id=2715,0.0279973160107163,44,2,1,1,1,3,33
SUM transactions for user_id=2715,0.0319825627786784,44,2,1,1,1,3,33
SUM transactions for user_id=4996,0.0309181208438873,27,2,1,1,1,3,33
SUM transactions for user_id=4996,0.0280992868088797,27,2,1,1,1,3,33
SUM transactions for user_id=4996,0.0288321388628818,27,2,1,1,1,3,33
SUM transactions for user_id=2999,0.0244229348054814,18,2,1,1,1,3,33
SUM transactions for user_id=2999,0.0269370296778571,18,2,1,1,1,3,33
SUM transactions for user_id=2999,0.0274768893322891,18,2,1,1,1,3,33
SUM transactions for user_id=4993,0.0262568922610519,13,2,1,1,1,3,33
SUM transactions for user_id=4993,0.0218708425912312,13,2,1,1,1,3,33
SUM transactions for user_id=4993,0.0275476228205563,13,2,1,1,1,3,33
SUM transactions for user_id=4995,0.0238450800465521,20,2,1,1,1,3,33
SUM transactions for user_id=4995,0.0320412464029074,20,2,1,1,1,3,33
SUM transactions for user_id=4995,0.0280338639726479,20,2,1,1,1,3,33
SUM transactions for user_id=8947,0.0234406256763879,36,2,1,1,1,3,33
SUM transactions for user_id=8947,0.0228031354534494,36,2,1,1,1,3,33
SUM transactions for user_id=8947,0.0218181573489677,36,2,1,1,1,3,33
SUM transactions for user_id=8268,0.028129247614891,35,2,1,1,1,3,33
SUM transactions for user_id=8268,0.0262860622634788,35,2,1,1,1,3,33
SUM transactions for user_id=8268,0.0241905308501767,35,2,1,1,1,3,33
SUM transactions for user_id=8547,0.0294377305396089,13,2,1,1,1,3,33
SUM transactions for user_id=8547,0.0209856771528147,13,2,1,1,1,3,33
SUM transactions for user_id=8547,0.0204832201612138,13,2,1,1,1,3,33
SUM transactions for user_id=8729,0.0279561933039445,5,2,1,1,1,3,33
SUM transactions for user_id=8729,0.0278767155833238,5,2,1,1,1,3,33
SUM transactions for user_id=8729,0.0237796969846294,5,2,1,1,1,3,33
SUM transactions for user_id=5328,0.0269474166808495,27,2,1,1,1,3,33
SUM transactions for user_id=5328,0.0304846004395359,27,2,1,1,1,3,33
SUM transactions for user_id=5328,0.0276099588109482,27,2,1,1,1,3,33
SUM transactions for user_id=1646,0.0216373630306464,40,2,1,1,1,3,33
SUM transactions for user_id=1646,0.0283786877978251,40,2,1,1,1,3,33
SUM transactions for user_id=1646,0.0243406111781557,40,2,1,1,1,3,33
SUM transactions for user_id=5861,0.0251549166449901,36,2,1,1,1,3,33
SUM transactions for user_id=5861,0.0218115029051017,36,2,1,1,1,3,33
SUM transactions for user_id=5861,0.0225061706900211,36,2,1,1,1,3,33
SUM transactions for user_id=559,0.0272435488159063,35,2,1,1,1,3,32
SUM transactions for user_id=559,0.0237397361905871,35,2,1,1,1,3,32
SUM transactions for user_id=559,0.0229680869039115,35,2,1,1,1,3,32
SUM transactions for user_id=4968,0.02336550898795,12,2,1,1,1,3,33
SUM transactions for user_id=4968,0.0220282705943235,12,2,1,1,1,3,33
SUM transactions for user_id=4968,0.0235047527138066,12,2,1,1,1,3,33
SUM transactions for user_id=5713,0.029710778128452,35,2,1,1,1,3,33
SUM transactions for user_id=5713,0.0227355661953625,35,2,1,1,1,3,33
SUM transactions for user_id=5713,0.0231459503599125,35,2,1,1,1,3,33
SUM transactions for user_id=8895,0.0299722785997639,9,2,1,1,1,3,33
SUM transactions for user_id=8895,0.0270590272663699,9,2,1,1,1,3,33
SUM transactions for user_id=8895,0.0225068622032504,9,2,1,1,1,3,33
SUM transactions for user_id=7363,0.0235706003851261,16,2,1,1,1,3,33
SUM transactions for user_id=7363,0.0231059308893729,16,2,1,1,1,3,33
SUM transactions for user_id=7363,0.0221225777964979,16,2,1,1,1,3,33
SUM transactions for user_id=3298,0.0374735472498932,31,2,1,1,1,3,33
SUM transactions for user_id=3298,0.0277135594603762,31,2,1,1,1,3,33
SUM transactions for user_id=3298,0.0377877364145121,31,2,1,1,1,3,33
SUM transactions for user_id=1596,0.0335482735435854,5,2,1,1,1,3,33
SUM transactions for user_id=1596,0.0380793391682207,5,2,1,1,1,3,33
SUM transactions for user_id=1596,0.0308417724778415,5,2,1,1,1,3,33
SUM transactions for user_id=57,0.038483422748148,27,2,1,1,1,3,31
SUM transactions for user_id=57,0.0381904931602451,27,2,1,1,1,3,31
SUM transactions for user_id=57,0.0409545017309308,27,2,1,1,1,3,31
SUM transactions for user_id=6405,0.0315493197830268,18,2,1,1,1,3,33
SUM transactions for user_id=6405,0.0333051365415904,18,2,1,1,1,3,33
SUM transactions for user_id=6405,0.0290325015773629,18,2,1,1,1,3,33
SUM transactions for user_id=6452,0.0362374082646895,37,2,1,1,1,3,33
SUM transactions for user_id=6452,0.0308410396523304,37,2,1,1,1,3,33
SUM transactions for user_id=6452,0.0312663143979225,37,2,1,1,1,3,33
SUM transactions for user_id=7282,0.0371910931589862,24,2,1,1,1,3,33
SUM transactions for user_id=7282,0.0314990598521123,24,2,1,1,1,3,33
SUM transactions for user_id=7282,0.0361248351180121,24,2,1,1,1,3,33
SUM transactions for user_id=3826,0.0349115077695038,48,2,1,1,1,3,33
SUM transactions for user_id=3826,0.0406483399233736,48,2,1,1,1,3,33
SUM transactions for user_id=3826,0.0464517622252543,48,2,1,1,1,3,33
SUM transactions for user_id=2599,0.0362857559453499,20,2,1,1,1,3,33
SUM transactions for user_id=2599,0.0307748587016456,20,2,1,1,1,3,33
SUM transactions for user_id=2599,0.0388572364316144,20,2,1,1,1,3,33
SUM transactions for user_id=8976,0.0346907548297784,13,2,1,1,1,3,33
SUM transactions for user_id=8976,0.035608606404804,13,2,1,1,1,3,33
SUM transactions for user_id=8976,0.041950384524553,13,2,1,1,1,3,33
SUM transactions for user_id=8258,0.0383987601698738,38,2,1,1,1,3,33
SUM transactions for user_id=8258,0.0387802874979618,38,2,1,1,1,3,33
